Facility ,County ,Census_pop,DOC Total 
STERLING CORRECTIONAL FACILITY ,Logan ,2436,"2,443 "
CROWLEY COUNTY CORRECTIONAL FACILITY ,Crowley ,1776,"1,786 "
FREMONT CORRECTIONAL FACILITY ,Fremont ,1419,"1,605 "
BENT COUNTY CORRECTIONAL FACILITY ,Bent ,1224,"1,382 "
BUENA VISTA CORRECTIONAL COMPLEX (merged with Buena Vista Blocks),Chaffee ,1208,908 
ARKANSAS VALLEY CORRECTIONAL FACILITY ,Crowley ,1063,"1,059 "
DENVER WOMENS CORRECTIONAL FACILITY ,Denver ,938,933 
LIMON CORRECTIONAL FACILITY ,Lincoln ,904,908 
COLORADO STATE PENITENTIARY ,Fremont ,705,706 
DENVER RECEPTION AND DIAGNOSTIC CENTER ,Denver ,651,529 
COLORADO TERRITORIAL CORRECTIONAL FACILITY ,Fremont ,564,910 
LA VISTA CORRECTIONAL FACILITY ,Pueblo ,549,656 
ARROWHEAD CORRECTIONAL CENTER ,Fremont ,512,513 
FOUR MILE CORRECTIONAL CENTER (merged with 2nd block),Fremont ,507,511 
TRINIDAD CORRECTIONAL FACILITY ,Las Animas ,482,498 
DELTA CORRECTIONAL CENTER ,Delta ,477,480 
SKYLINE CORRECTIONAL CENTER ,Fremont ,248,250 
RIFLE CORRECTIONAL CENTER ,Garfield ,187,194 
CENTENNIAL CORRECTIONAL FACILITY ,Fremont ,185,403 
SAN CARLOS CORRECTIONAL FACILITY ,Pueblo ,169,219 
COLORADO CORRECTIONAL CENTER (CAMP GEORGE WEST) ,Jefferson ,128,123 
YOUTHFUL OFFENDER SYSTEM-PUEBLO ,Pueblo ,,181 
PAROLE FACILITY CCC ,Denver ,,7 
PAROLE FACILITY DWCF ,Denver ,,2 