Correctional Facility Name,Total Pop Census,DOCCS Population
Attica Correctional Facility,1863,1874
Green Haven Correctional Facility,1788,1805
Clinton Correctional Facility,1746,1750
Elmira Correctional Facility,1433,1455
Greene Correctional Facility,1379,1382
Sing Sing Correctional Facility,1367,1361
Mohawk Correctional Facility,1294,1293
Wyoming Correctional Facility,227,1165
Great Meadow Correctional Facility,1140,1146
Auburn Correctional Facility,1122,1135
Gowanda Correctional Facility,2041,1125
Franklin Correctional Facility,1125,1124
Fishkill Correctional Facility,1101,1109
Bare Hill Correctional Facility,1079,1080
Marcy Correctional Facility,1045,1076
Five Points Correctional Facility,991,1067
Collins Correctional Facility,2041,947
Eastern Correctional Facility,922,929
Gouverneur Correctional Facility,837,857
Groveland Correctional Facility,841,821
Cayuga Correctional Facility,692,808
Midstate Correctional Facility,618,805
Downstate Correctional Facility,756,772
Coxsackie Correctional Facility,781,770
Woodbourne Correctional Facility,763,768
Albion Correctional Facility,419,759
Washington Correctional Facility,747,738
Cape Vincent Correctional Facility,697,713
Riverview Correctional Facility,578,691
Wende Correctional Facility,636,646
Bedford Hills Correctional Facility,269,644
Lakeview Correctional Facility,617,628
Orleans Correctional Facility,817,609
Otisville Correctional Facility,583,584
Upstate Correctional Facility,586,584
Wallkill Correctional Facility,568,566
Willard Correctional Facility,567,532
Fishkill Correctional Facility,513,517
Ulster Correctional Facility,490,494
Shawangunk Correctional Facility,496,483
Clinton Correctional Facility,460,461
Sullivan Correctional Facility,484,454
Midstate Correctional Facility,335,436
Southport Correctional Facility,438,434
Hale Creek Correctional Facility,322,413
Watertown Correctional Facility,367,385
Altona Correctional Facility,361,370
Ogdensburg Correctional Facility,169,361
Taconic Correctional Facility,769,270
Great Meadow Correctional Facility,260,261
Moriah Correctional Facility,183,183
Queensboro Correctional Facility,186,172
Orleans Correctional Facility,220,164
Midstate Correctional Facility,110,143
Hudson Correctional Facility,84,82
Wende Correctional Facility,80,81
Edgecombe Correctional Facility,125,69
Gowanda Correctional Facility,67,35
Rochester Correctional Facility,35,29
Groveland Correctional Facility,24,23
Sullivan Correctional Facility,21,20
Adirondack Correctional Facility,591,13
Downstate Correctional Facility,11,11
Groveland Correctional Facility,10,10